epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.34785,1.43656,4.24388,1.26622,0.46136,0.4125,0.3046,0.1768,1.64416,3.23378,1.3316,0.0001667,0.0001667,0.0001667
2,2.21914,1.10189,1.55809,1.09333,0.31579,0.46797,0.29865,0.1607,1.45096,9.04694,1.27303,0.000346604,0.000346604,0.000346604
3,3.06735,1.03647,1.16089,1.07207,0.05254,0.45139,0.05039,0.02715,1.37855,7.4139,1.23971,0.000522878,0.000522878,0.000522878
4,3.89104,1.0308,1.16655,1.06681,0.0353,0.35414,0.04569,0.02662,1.40743,11.25,1.22803,0.000695521,0.000695521,0.000695521
5,4.71757,1.05575,1.0793,1.05994,0.36116,0.6625,0.48631,0.28312,1.43054,1.66272,1.35258,0.000864533,0.000864533,0.000864533
6,5.59014,1.01755,0.99129,1.04525,0.42529,0.74028,0.52219,0.30393,1.33306,1.74737,1.26074,0.00102991,0.00102991,0.00102991
7,6.4522,1.06055,0.98686,1.08179,0.46712,0.54049,0.51548,0.32088,1.24139,1.90436,1.19142,0.00119166,0.00119166,0.00119166
8,7.43669,1.00634,0.87557,1.04688,0.56601,0.6691,0.62704,0.36037,1.37104,1.58307,1.27083,0.00134978,0.00134978,0.00134978
9,8.29283,0.99972,0.85971,1.04508,0.58224,0.65278,0.62224,0.3935,1.23992,1.45468,1.15189,0.00150427,0.00150427,0.00150427
10,9.15252,1.05004,0.92975,1.05408,0.36944,0.74718,0.4961,0.31617,1.2038,1.36801,1.15851,0.00151847,0.00151847,0.00151847
11,9.96087,1.02075,0.86925,1.0541,0.50201,0.65961,0.4975,0.32875,1.32441,1.65845,1.20475,0.00150197,0.00150197,0.00150197
12,10.7598,1.01698,0.86697,1.05644,0.35708,0.57917,0.45918,0.29512,1.3681,1.81068,1.19957,0.00148546,0.00148546,0.00148546
13,11.556,0.96614,0.78671,1.00686,0.56289,0.60682,0.51072,0.35047,1.21382,1.82255,1.17665,0.00146896,0.00146896,0.00146896
14,12.3505,0.98059,0.78144,1.04589,0.57918,0.48333,0.43601,0.29048,1.32346,2.07024,1.24667,0.00145246,0.00145246,0.00145246
15,13.1526,1.00229,0.80107,1.06429,0.45292,0.69028,0.53964,0.3618,1.19163,1.35524,1.21944,0.00143595,0.00143595,0.00143595
16,13.9576,0.96235,0.71743,1.01778,0.46661,0.75996,0.5596,0.38004,1.14194,1.28027,1.12172,0.00141945,0.00141945,0.00141945
17,14.7663,0.97943,0.7591,1.03312,0.46851,0.53611,0.48923,0.33244,1.13729,1.41842,1.0919,0.00140295,0.00140295,0.00140295
18,15.6731,0.92383,0.75587,1.02894,0.35798,0.54167,0.35815,0.23747,1.194,1.78369,1.12555,0.00138644,0.00138644,0.00138644
19,16.4716,0.94191,0.75135,1.03732,0.45108,0.74591,0.52994,0.37524,1.18617,1.24247,1.1058,0.00136994,0.00136994,0.00136994
20,17.2704,0.8972,0.70512,1.00479,0.44336,0.5885,0.42693,0.28072,1.22126,1.44694,1.15867,0.00135344,0.00135344,0.00135344
